,units_sold
2014-01-01,198.04901351091556
2014-02-01,199.30087280027047
2014-03-01,198.09689309679567
2014-04-01,202.28992728605064
2014-05-01,203.58267699775266
2014-06-01,203.0118895627281
2014-07-01,204.98201907646475
2014-08-01,205.56273997207765
2014-09-01,206.80597716637698
2014-10-01,206.72422603481314
2014-11-01,204.69410583364356
2014-12-01,203.51646244737864
2015-01-01,207.24571040390893
2015-02-01,205.43201716146484
2015-03-01,207.81745321508242
2015-04-01,208.34167463963908
2015-05-01,210.31151784956214
2015-06-01,209.20082812715268
2015-07-01,211.38660302074078
2015-08-01,211.34696943023283
2015-09-01,214.69645186899007
2015-10-01,208.388371851383
2015-11-01,215.40362045228196
2015-12-01,213.51842407961547
2016-01-01,215.66493015769132
2016-02-01,215.32875785835645
2016-03-01,214.1291019096052
2016-04-01,215.27538182602456
2016-05-01,219.58201118209968
2016-06-01,218.45054574115915
2016-07-01,216.83770282442174
2016-08-01,218.4790548112714
2016-09-01,218.1125249303318
2016-10-01,220.47434736720115
2016-11-01,220.83963360382387
2016-12-01,220.93691114133168
2017-01-01,219.4460994040596
2017-02-01,218.37211269844383
2017-03-01,223.70984936039486
2017-04-01,218.80272776259744
2017-05-01,223.42129199716996
2017-06-01,222.5848205502847
2017-07-01,222.72728503623995
2017-08-01,220.61854096778868
2017-09-01,226.45740910438653
2017-10-01,228.4432648949654
2017-11-01,226.9335071165831
2017-12-01,229.58761207243722
2018-01-01,231.7073590269912
2018-02-01,231.0679778400357
2018-03-01,226.013966814587
2018-04-01,231.18907517120013
2018-05-01,232.608103882985
2018-06-01,234.84899802987704
2018-07-01,234.61046401337387
2018-08-01,231.76560990771563
2018-09-01,234.04636564497113
2018-10-01,234.54628780171947
2018-11-01,236.43961867160513
2018-12-01,237.34649618694465
2019-01-01,236.2452741359914
2019-02-01,234.88669411673658
2019-03-01,239.48311448430192
2019-04-01,236.28849173429282
2019-05-01,237.1908290950711
2019-06-01,243.44393644704923
2019-07-01,239.62023880577908
2019-08-01,239.41825185134496
2019-09-01,241.3127924927354
2019-10-01,243.41517464946415
2019-11-01,241.2852166748229
2019-12-01,242.0935222626712
2020-01-01,243.34583001196262
2020-02-01,247.21513616588726
2020-03-01,247.96480441015865
2020-04-01,245.16842285368514
2020-05-01,244.5160417305918
2020-06-01,242.30486986005732
2020-07-01,245.243485413851
2020-08-01,249.4242878232317
2020-09-01,244.87918800688203
2020-10-01,247.40222841969745
2020-11-01,250.49600874973615
2020-12-01,249.6228552506528
2021-01-01,250.40866894158452
2021-02-01,251.18464782208758
2021-03-01,256.1877894574286
2021-04-01,249.40490628395148
2021-05-01,253.72931134885442
2021-06-01,253.40778749156112
2021-07-01,259.19168577161605
2021-08-01,254.3250006216319
2021-09-01,255.78110585420282
2021-10-01,251.56353505093205
2021-11-01,256.65266967615673
2021-12-01,259.0175701234779
2022-01-01,260.4675026752627
2022-02-01,262.3412444488066
2022-03-01,260.9122545251484
2022-04-01,261.8718704297153
2022-05-01,259.5364504856695
2022-06-01,260.0037109384909
2022-07-01,261.9460035422193
2022-08-01,257.43310513361405
2022-09-01,264.293461164289
2022-10-01,266.9707342185175
2022-11-01,260.9136573008617
2022-12-01,262.60194882196197
2023-01-01,267.11424054765746
2023-02-01,266.0913125587201
2023-03-01,263.2616563810522
2023-04-01,267.0439770577361
2023-05-01,265.80070572213475
2023-06-01,266.1808777959962
2023-07-01,265.33718788536476
2023-08-01,267.90481298686785
2023-09-01,270.01507757519363
2023-10-01,273.59492643868043
2023-11-01,268.7430970158684
2023-12-01,267.92267748782996
